FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"NY, Suffolk",2025,All,36103,6,5 to 49,"NY, Suffolk County"
"OR, Multnomah",2025,All,41051,5,5 to 49,"OR, Multnomah County"
"TX, Dallas",2025,All,48113,5,5 to 49,"TX, Dallas County"
"TX, Harris",2025,All,48201,15,5 to 49,"TX, Harris County"
"TX, Tarrant",2025,All,48439,8,5 to 49,"TX, Tarrant County"
"TX, Travis",2025,All,48453,10,5 to 49,"TX, Travis County"
"VA, Prince William",2025,All,51153,5,5 to 49,"VA, Prince William County"
"WA, King",2025,All,53033,11,5 to 49,"WA, King County"
"WI, Dane",2025,All,55025,6,5 to 49,"WI, Dane County"
"PR, Aguada",2025,All,72003,15,5 to 49,"PR, Aguada Municipality"
"PR, Aguadilla",2025,All,72005,23,5 to 49,"PR, Aguadilla Municipality"
"PR, Aibonito",2025,All,72009,34,5 to 49,"PR, Aibonito Municipality"
"PR, Arroyo",2025,All,72015,21,5 to 49,"PR, Arroyo Municipality"
"PR, Barceloneta",2025,All,72017,28,5 to 49,"PR, Barceloneta Municipality"
"PR, Barranquitas",2025,All,72019,30,5 to 49,"PR, Barranquitas Municipality"
"PR, Cabo Rojo",2025,All,72023,26,5 to 49,"PR, Cabo Rojo Municipality"
"PR, Camuy",2025,All,72027,12,5 to 49,"PR, Camuy Municipality"
"PR, Cayey",2025,All,72035,19,5 to 49,"PR, Cayey Municipality"
"PR, Ceiba",2025,All,72037,7,5 to 49,"PR, Ceiba Municipality"
"PR, Cidra",2025,All,72041,35,5 to 49,"PR, Cidra Municipality"
"PR, Comerio",2025,All,72045,18,5 to 49,"PR, Comerio Municipality"
"PR, Corozal",2025,All,72047,38,5 to 49,"PR, Corozal Municipality"
"PR, Dorado",2025,All,72051,46,5 to 49,"PR, Dorado Municipality"
"PR, Fajardo",2025,All,72053,27,5 to 49,"PR, Fajardo Municipality"
"PR, Florida",2025,All,72054,8,5 to 49,"PR, Florida Municipality"
"PR, Guayanilla",2025,All,72059,12,5 to 49,"PR, Guayanilla Municipality"
"PR, Gurabo",2025,All,72063,39,5 to 49,"PR, Gurabo Municipality"
"PR, Hatillo",2025,All,72065,25,5 to 49,"PR, Hatillo Municipality"
"PR, Hormigueros",2025,All,72067,9,5 to 49,"PR, Hormigueros Municipality"
"PR, Humacao Municipality",2025,All,72069,48,5 to 49,"PR, Humacao Municipality"
"PR, Isabela",2025,All,72071,25,5 to 49,"PR, Isabela Municipality"
"PR, Juana Diaz",2025,All,72075,11,5 to 49,"PR, Juana Diaz Municipality"
"PR, Lajas",2025,All,72079,24,5 to 49,"PR, Lajas Municipality"
"PR, Lares",2025,All,72081,49,5 to 49,"PR, Lares Municipality"
"PR, Las Piedras",2025,All,72085,18,5 to 49,"PR, Las Piedras Municipality"
"PR, Loiza",2025,All,72087,42,5 to 49,"PR, Loiza Municipality"
"PR, Luquillo",2025,All,72089,5,5 to 49,"PR, Luquillo Municipality"
"PR, Maricao",2025,All,72093,6,5 to 49,"PR, Maricao Municipality"
"PR, Mayaguez",2025,All,72097,19,5 to 49,"PR, Mayaguez Municipality"
"PR, Moca",2025,All,72099,12,5 to 49,"PR, Moca Municipality"
"PR, Morovis",2025,All,72101,14,5 to 49,"PR, Morovis Municipality"
"PR, Nabuabo",2025,All,72103,16,5 to 49,"PR, Naguabo Municipality"
"PR, Naranjito",2025,All,72105,47,5 to 49,"PR, Naranjito Municipality"
"PR, Patillas",2025,All,72109,21,5 to 49,"PR, Patillas Municipality"
"PR, Penuelas",2025,All,72111,19,5 to 49,"PR, Penuelas Municipality"
"PR, Quebradillas",2025,All,72115,12,5 to 49,"PR, Quebradillas Municipality"
"PR, Rio Grande",2025,All,72119,20,5 to 49,"PR, Rio Grande Municipality"
"PR, Sabana Grande",2025,All,72121,39,5 to 49,"PR, Sabana Grande Municipality"
